segment_id,environment,speaker_id,word_count,sentence_count,emotion_word_count,vulnerability_count,repair_count,second_person_count,directive_count,commitment_count,segment_start_iso,emotional_cost,role_constraint
banter_00151,banter,[user],1939,147,0,1,0,7,87,2,2000-01-04T11:30:00,1.0314595152140278,80.14440433212997
banter_00152,banter,[user],1811,108,0,0,0,4,99,1,2000-01-04T11:52:00,0.0,97.40474875759249
banter_00153,banter,[user],1936,78,0,0,0,6,83,4,2000-01-04T12:08:00,0.0,80.57851239669424
banter_00154,banter,[user],1429,78,0,0,0,7,72,1,2000-01-04T12:30:00,0.0,90.27291812456262
banter_00155,banter,[user],1767,118,1,1,0,4,65,2,2000-01-04T12:46:00,1.9807583474816073,68.25127334465195
banter_00156,banter,[user],1698,73,0,1,0,9,88,4,2000-01-04T12:54:00,1.1778563015312131,95.0530035335689
banter_00157,banter,[user],1984,74,2,1,0,12,92,3,2000-01-04T13:04:00,2.520161290322581,84.97983870967744
banter_00158,banter,[user],1896,127,0,1,0,13,113,2,2000-01-04T13:20:00,1.0548523206751055,108.54430379746836
banter_00159,banter,[user],1916,104,1,1,0,16,91,0,2000-01-04T13:44:00,1.8267223382045927,87.05636743215031
banter_00160,banter,[user],1634,83,0,0,0,10,76,0,2000-01-04T14:10:00,0.0,87.02570379436963
banter_00161,banter,[user],1849,116,0,1,0,10,111,4,2000-01-04T14:28:00,1.081665765278529,110.32990805840994
banter_00162,banter,[user],1894,100,0,2,0,23,73,4,2000-01-04T14:48:00,2.1119324181626187,68.74340021119325
banter_00163,banter,[user],1504,51,0,0,0,12,72,2,2000-01-04T15:26:00,0.0,90.55851063829789
banter_00164,banter,[user],918,42,0,0,0,6,32,1,2000-01-04T15:36:00,0.0,64.05228758169936
four_guys_00001,four_guys,🔆 Mr_Y,302,65,0,0,0,10,12,0,2022-04-09T13:38:00,0.0,71.52317880794702
four_guys_00002,four_guys,🔆 Mr_Y,22,1,0,0,0,0,1,0,2022-04-10T10:11:00,0.0,81.81818181818181
four_guys_00003,four_guys,🔆 Mr_Y,40,9,0,0,0,1,2,2,2022-04-10T16:27:00,0.0,120.0
four_guys_00004,four_guys,🔆 Mr_Y,202,46,0,0,0,5,4,1,2022-04-11T08:29:00,0.0,35.64356435643565
four_guys_00005,four_guys,🔆 Mr_Y,72,11,0,0,0,0,1,0,2022-04-12T20:42:00,0.0,24.999999999999996
four_guys_00006,four_guys,🔆 Mr_Y,66,9,0,0,0,1,2,0,2022-04-13T06:12:00,0.0,72.72727272727273
four_guys_00007,four_guys,🔆 Mr_Y,428,54,1,0,0,9,16,0,2022-04-13T16:15:00,3.5046728971962615,65.88785046728972
four_guys_00008,four_guys,🔆 Mr_Y,425,70,0,0,0,9,19,1,2022-04-14T07:38:00,0.0,80.47058823529413
four_guys_00009,four_guys,🔆 Mr_Y,318,61,0,0,0,2,12,1,2022-04-15T06:22:00,0.0,67.92452830188678
four_guys_00010,four_guys,🔆 Mr_Y,44,7,0,0,0,1,2,1,2022-04-16T06:58:00,0.0,81.81818181818181
four_guys_00011,four_guys,🔆 Mr_Y,113,16,0,0,0,1,3,0,2022-04-18T06:26:00,0.0,58.4070796460177
four_guys_00012,four_guys,🔆 Mr_Y,17,2,0,0,0,0,1,0,2022-04-21T08:37:00,0.0,105.88235294117646
four_guys_00013,four_guys,🔆 Mr_Y,45,7,0,0,0,0,2,0,2022-04-22T08:52:00,0.0,66.66666666666667
four_guys_00014,four_guys,🔆 Mr_Y,100,11,0,0,0,2,6,0,2022-04-24T19:16:00,0.0,108.0
four_guys_00015,four_guys,🔆 Mr_Y,12,4,0,0,0,0,0,0,2022-04-25T15:21:00,0.0,0.0
